theta1,theta3,density
0.733038,-1.78024,0.0121311
0.733038,-1.5708,0.0102722
0.733038,-1.36136,0.00869819
0.733038,-1.15192,0.00741908
0.733038,-0.942478,0.0064187
0.733038,-0.733038,0.00566852
0.733038,-0.523599,0.00513779
0.733038,-0.314159,0.00479992
0.733038,-0.10472,0.00463588
0.733038,0.10472,0.00463588
0.733038,0.314159,0.00479992
0.733038,0.523599,0.00513779
0.733038,0.733038,0.00566852
0.733038,0.942478,0.0064187
0.733038,1.15192,0.00741908
0.733038,1.36136,0.00869819
0.733038,1.5708,0.0102722
0.733038,1.78024,0.0121311
0.733038,1.98968,0.0142226
0.733038,2.19911,0.0164393
0.733038,2.40855,0.0186149
0.733038,2.61799,0.0205377
0.733038,2.82743,0.0219834
0.733038,3.03687,0.0227613
0.942478,-3.03687,0.0257736
0.942478,-2.82743,0.0248928
0.942478,-2.61799,0.0232557
0.942478,-2.40855,0.0210784
0.942478,-2.19911,0.0186149
0.942478,-1.98968,0.0161049
0.942478,-1.78024,0.0137366
0.942478,-1.5708,0.0116317
0.942478,-1.36136,0.00984932
0.942478,-1.15192,0.00840093
0.942478,-0.942478,0.00726816
0.942478,-0.733038,0.0064187
0.942478,-0.523599,0.00581774
0.942478,-0.314159,0.00543515
0.942478,-0.10472,0.0052494
0.942478,0.10472,0.0052494
0.942478,0.314159,0.00543515
0.942478,0.523599,0.00581774
0.942478,0.733038,0.0064187
0.942478,0.942478,0.00726816
0.942478,1.15192,0.00840093
0.942478,1.36136,0.00984932
0.942478,1.5708,0.0116317
0.942478,1.78024,0.0137366
0.942478,1.98968,0.0161049
0.942478,2.19911,0.0186149
0.942478,2.40855,0.0210784
0.942478,2.61799,0.0232557
0.942478,2.82743,0.0248928
0.942478,3.03687,0.0257736
1.15192,-3.03687,0.0297905
1.15192,-2.82743,0.0287724
1.15192,-2.61799,0.0268802
1.15192,-2.40855,0.0243635
1.15192,-2.19911,0.021516
1.15192,-1.98968,0.0186149
1.15192,-1.78024,0.0158775
1.15192,-1.5708,0.0134445
1.15192,-1.36136,0.0113844
1.15192,-1.15192,0.00971024
1.15192,-0.942478,0.00840093
1.15192,-0.733038,0.00741908
1.15192,-0.523599,0.00672445
1.15192,-0.314159,0.00628223
1.15192,-0.10472,0.00606754
1.15192,0.10472,0.00606754
1.15192,0.314159,0.00628223
1.15192,0.523599,0.00672445
1.15192,0.733038,0.00741908
1.15192,0.942478,0.00840093
1.15192,1.15192,0.00971024
1.15192,1.36136,0.0113844
1.15192,1.5708,0.0134445
1.15192,1.78024,0.0158775
1.15192,1.98968,0.0186149
1.15192,2.19911,0.021516
1.15192,2.40855,0.0243635
1.15192,2.61799,0.0268802
1.15192,2.82743,0.0287724
1.15192,3.03687,0.0297905
1.36136,-3.03687,0.0349266
1.36136,-2.82743,0.033733
1.36136,-2.61799,0.0315146
1.36136,-2.40855,0.028564
1.36136,-2.19911,0.0252256
1.36136,-1.98968,0.0218242
1.36136,-1.78024,0.0186149
1.36136,-1.5708,0.0157625
1.36136,-1.36136,0.0133471
1.36136,-1.15192,0.0113844
1.36136,-0.942478,0.00984932
1.36136,-0.733038,0.00869819
1.36136,-0.523599,0.0078838
1.36136,-0.314159,0.00736534
1.36136,-0.10472,0.00711363
1.36136,0.10472,0.00711363
1.36136,0.314159,0.00736534
1.36136,0.523599,0.0078838
1.36136,0.733038,0.00869819
1.36136,0.942478,0.00984932
1.36136,1.15192,0.0113844
1.36136,1.36136,0.0133471
1.36136,1.5708,0.0157625
1.36136,1.78024,0.0186149
1.36136,1.98968,0.0218242
1.36136,2.19911,0.0252256
1.36136,2.40855,0.028564
