theta1,theta3,density
2.61799,-0.523599,0.0186218
2.61799,-0.314159,0.0173979
2.61799,-0.10472,0.0168037
2.61799,0.10472,0.0168037
2.61799,0.314159,0.0173979
2.61799,0.523599,0.0186218
2.61799,0.733038,0.0205442
2.61799,0.942478,0.0232612
2.61799,1.15192,0.0268841
2.61799,1.36136,0.0315159
2.61799,1.5708,0.0372152
2.61799,1.78024,0.0439451
2.61799,1.98968,0.0515165
2.61799,2.19911,0.05954
2.61799,2.40855,0.0674144
2.61799,2.61799,0.0743736
2.61799,2.82743,0.0796055
2.61799,3.03687,0.0824204
2.82743,-3.03687,0.0882184
2.82743,-2.82743,0.0852054
2.82743,-2.61799,0.0796055
2.82743,-2.40855,0.0721567
2.82743,-2.19911,0.0637285
2.82743,-1.98968,0.0551405
2.82743,-1.78024,0.0470365
2.82743,-1.5708,0.0398332
2.82743,-1.36136,0.033733
2.82743,-1.15192,0.0287752
2.82743,-0.942478,0.0248975
2.82743,-0.733038,0.0219894
2.82743,-0.523599,0.0199318
2.82743,-0.314159,0.0186218
2.82743,-0.10472,0.0179858
2.82743,0.10472,0.0179858
2.82743,0.314159,0.0186218
2.82743,0.523599,0.0199318
2.82743,0.733038,0.0219894
2.82743,0.942478,0.0248975
2.82743,1.15192,0.0287752
2.82743,1.36136,0.033733
2.82743,1.5708,0.0398332
2.82743,1.78024,0.0470365
2.82743,1.98968,0.0551405
2.82743,2.19911,0.0637285
2.82743,2.40855,0.0721567
2.82743,2.61799,0.0796055
2.82743,2.82743,0.0852054
2.82743,3.03687,0.0882184
3.03687,-3.03687,0.0913379
3.03687,-2.82743,0.0882184
3.03687,-2.61799,0.0824204
3.03687,-2.40855,0.0747083
3.03687,-2.19911,0.065982
3.03687,-1.98968,0.0570903
3.03687,-1.78024,0.0486998
3.03687,-1.5708,0.0412417
3.03687,-1.36136,0.0349258
3.03687,-1.15192,0.0297928
3.03687,-0.942478,0.0257779
3.03687,-0.733038,0.0227669
3.03687,-0.523599,0.0206366
3.03687,-0.314159,0.0192803
3.03687,-0.10472,0.0186218
3.03687,0.10472,0.0186218
3.03687,0.314159,0.0192803
3.03687,0.523599,0.0206366
3.03687,0.733038,0.0227669
3.03687,0.942478,0.0257779
3.03687,1.15192,0.0297928
3.03687,1.36136,0.0349258
3.03687,1.5708,0.0412417
3.03687,1.78024,0.0486998
3.03687,1.98968,0.0570903
3.03687,2.19911,0.065982
3.03687,2.40855,0.0747083
3.03687,2.61799,0.0824204
3.03687,2.82743,0.0882184
3.03687,3.03687,0.0913379
